Address,Allocation
0xCe8F93f417Ea3D7712F0811CAAD323cF7917A879,5000000
0x708de5e4e315B016ab9febDe8a509aF84Db084eE,2500000
0x2303fB022541505776a8bEB2FB7eb2b71CeBaC76,1000000
0x4772FBbF48356d0816354ce9ca1c00c7C6826A2f,1000000
0x63a53b1c2934c67ee6f007E37F6fDE0F6bc8386d,2500000
0xbB9Fdd2F5fDebf2928B220FedCE48b27a96Ae4C7,1000000
0x511EdcCC9dFdf709369fDE5289474E4b6861019d,7500000
0xc6Ab99ba9c4F2774Bcc9E460b28f2e24F1E1a400,10000000
0x821cfc56C9333335484136211c76740B35AE2924,6500000
0x626Ef3b6a48b550c49869545F52E6c1853d293Bd,5000000
0xB91451691e29A6EE96F1a2ae15CDcC4fB2FBdf03,1000000
0xB2A5B7FD847F01F28e4a56074a5dCC57De16A4dc,4500000
0x9f2301960dF3D3c97D891362d716F42e93D35D1E,1700000
0x0257E3682f4ea047dDf7f5A5e9a96914d681aff2,500000
0x1EF85004Bc8a4161f056b1f76C44ED1Db522BDAb,500000
0x2305a370E186A87F3DFFd08C9A0b1F31E9520249,100000
0xb6A46ef97A2082E002087Cb1282c94C12b9B3D93,25000
