Address,Allocation
0xbB9Fdd2F5fDebf2928B220FedCE48b27a96Ae4C7,333333
0x4e42b48A30484d7C0Bb029E932904A9CB594eb80,333333
0xE382858CB38dE0C2f359F855Bbfd467b1677f262,333333
0x5Bc8CDf07ef449b4a0D680BBaf08F07872633076,333333
0x3dfE840869F6A11acC4C8c59A827671320549532,166667
0xB9e43F537b0625b9413DbB1818940164a8df33Fe,1333333
0x67F0fE9F9769eb905Db7552DB612e867Ee64bB44,83333
0xb128d6007D5d0e9B341f2C66e9ae482304Fb7FDc,500000
0xd2D44569898451e86E6090f60eC44283f9cb9d7E,333333
0xbBD8482E49a3b3840dB234f792C5050ba208cDeE,100000
0xb7cEb6CbA7aE3F125480Db4Faef1EdC2DD36db70,666667
0x01695e01cBbDeC22593ED4c1bdB0Fa93e92289F6,833333
0xcfE36031B009B671c0eBbb02423442743cEc89Ae,666667
0x74482e411D92A343b32240b5C2bB35482add6EA4,500000
0x396D4A257d4b98F353C5c5B954B35F3fC52acb4F,666667
0xcfE36031B009B671c0eBbb02423442743cEc89Ae,166667
0xd45098370931188d4BF612c0E28122c5eb2A5041,500000
0xC14ac897f036E983dBB5F04C18B4E15116E39A28,166667
0x770dd88f9753d30ea98743A95EB56E47C41A9416,66667
0xbcd69Ce8027b930c7712290F4f0c1e8864382123,333333
0xe600e8eab76111875f9999618a25a445bc403663,33333
0xe10450c01b2ba2e9ED4c2dA6da559A5810d01219,166667
0x3c4bf95F17d3Bf016f70a58e5D244F695Ac60720,333333
0xF96015C654bF806f89BA92388DD74e51365A7204,166666
0x205bcad6bf1a727e1dc1d39f73fa08500362431d,250000
0xe10450c01b2ba2e9ED4c2dA6da559A5810d01219,166667
0xED66E340C877d8F05b4563D680ec06aD8B839569,333333
0x3A8363B57EC16Dd86a481022701bd4D33AA38fC3,200000
0x725F87a90deff5e0BFdbD0c3cd9178a4563Ab0cf,166666
0xDba0F30a267203b010BdA96e8c40AFb935D41495,100000
0x35efad8DE0140e999EA5125D8e56ebBFB64Eeb28,166667
0x2968eeAf2124155df04daE9Dbf95322E21A86621,166666
0xe2C0379F57a26Be3bd58147EC67355d73D30F379,166667
0x55280ab6945e75c7c17428807e46573293a3edfc,166666
0x252378Dd762da1EB778e1a3B6683f5457184ac98,233333
0x68835F2f9657844C5300634AFA522745190989Db,66666
0x9D4B4526B06D75C76beA3A01452dd7E13c658D99,333333
0x89B974c8108eb81F5974ca2FA9468b7ef74978c1,166666
0xb43989461C624297ccFEfa318B7852180a5c483E,166666
0x3Cb9EF3c48CF74C450F623C8B6B1043a93A155E6,33333
0x274033823906377EFa09E1300AB909b21b92AcFe,166666
0xEfa7415C70c688Dc229AB099A46daB3657E16482,47500
0x8D34913B1F9bbbbC86d15c293626bFc7A3eb81Db,166666
0xDeeE74e0C11c7ff7008024c7ae815297E503A5dc,500000
0x7e05Ae0Ef321e626379d09F4771348105C034b82,833333
0x1389EC072c4186e30835858bFE0aaf625935a70d,666666
0x00C9b37df30AcB68ad0b6EcB419425FF22f652D1,166667
0x5f7dA351b88aAF0Ea38b1274e578C64a444e7F9b,166667
0xC9B423453B74871Ee3CE10F9923114398F461bA3,100000
0xa7C12fa33507313Dc7C26A53CBDc67c8cd7f9f2f,33333
0x06e21F38B0e36E0D2CaBc9208C3bFfbC3504dc7A,100000
0x099f9AB16C24d5Aa12454b3c3a1685Ed22920a35,100000
0x3Dea8521F5860b10552040161470BFD151211675,33333
0xc334EeC7485dd9Aa4CfBd3d31e37Cc9459B49ca4,66667
0xf6700A5Bb3418D55953B7b4842dAbD662235ea91,66667
0x71ed106aB6357CC7Bc4cef1e94D03972359EDF51,33333
0x57aeb1c3bc806c0a53998ab5215a7a1022faf551,33333
0xc5F133e858085748c5750e9d712A41Ac6708D0A1,66667
0x1b80D6440F6bd3cF1B7de5fB951846075dB9b22c,33333
0xb20b4f6f48cddddc9b5f78eec9f36dc4133f69a2,83333
0xf872621B1824aE7D607A02Cf79Ba83276D641554,83333
0xff37C2900714FA9adbaa868B831aaC495C3Aa054,83333
0xb9A9B5f60A40c1588D5c5fE279dc742ea1067B94,50000
0x2fC7Cb9b6749c335d2f905277c6F5C17bA359A61,50000
0x58CBAbD0423ECD49D9401FB7b21DB3e4eCd17F9F,133333
0x5785C34dF5d07b42C7F4e529fDdEC9cf39a2a97c,83333
0x3792171fC72CC6B37Dd3354F2CDA6c5A8393D7b4,33333
0x2F8e5552d0137Fe49A3e745139AB6384362F2e0A,33333
0xBDc16514363D0Fe8B53533a90B6D07a248f8B3e7,16667
0x73765346a42a26652D469D4668E69dde50984CbC,16667
