Address,Allocation
0xbB9Fdd2F5fDebf2928B220FedCE48b27a96Ae4C,333333
0x4e42b48A30484d7C0Bb029E932904A9CB594eb8,333333
0xE382858CB38dE0C2f359F855Bbfd467b1677f26,333333
0x5Bc8CDf07ef449b4a0D680BBaf08F0787263307,333333
0x3dfE840869F6A11acC4C8c59A82767132054953,166667
0xB9e43F537b0625b9413DbB1818940164a8df33F,1333333
0x67F0fE9F9769eb905Db7552DB612e867Ee64bB4,83333
0xb128d6007D5d0e9B341f2C66e9ae482304Fb7FD,500000
0xd2D44569898451e86E6090f60eC44283f9cb9d7,333333
0xbBD8482E49a3b3840dB234f792C5050ba208cDe,100000
0xb7cEb6CbA7aE3F125480Db4Faef1EdC2DD36db7,666667
0x01695e01cBbDeC22593ED4c1bdB0Fa93e92289F,833333
0x66886B3A3DC2b44cb69B18a6b5aF3A989290BDb,666667
0x74482e411D92A343b32240b5C2bB35482add6EA,500000
0x396D4A257d4b98F353C5c5B954B35F3fC52acb4,666667
0x66886B3A3DC2b44cb69B18a6b5aF3A989290BDb,166667
0xB2A5B7FD847F01F28e4a56074a5dCC57De16A4d,500000
0x5d198bd3F340B61B226dd1376c0F20f0a1f2E03,333333
0xC14ac897f036E983dBB5F04C18B4E15116E39A2,166667
0x770dd88f9753d30ea98743A95EB56E47C41A941,66667
0xbcd69Ce8027b930c7712290F4f0c1e886438212,333333
