Address,Gen1Total,Gen2Total,totalBalance,series1Balance,series2Balance,Bonus,BonusNFTs
0xb104c36540604bc406a4d8510b1b82d30b5cdb78,"[0, 1]","[44, 47, 48, 45, 46, 1090, 1091, 1092, 1093, 1094, 1734]",13,2,11,2,"[0, 1]"
0xef7d145e7921013997a7718f7c5b047a6f5c3612,[3],[1324],2,1,1,1,[3]
0x1eb39d46c9814c8f16ea657d9dc1029575f4d651,"[7, 8, 9, 5, 6]",,5,5,0,0,[]
0x6fbca530761e132b11b0e3a9e4fc744d2a371c8e,[10],"[18, 943, 944, 945, 946]",6,1,5,1,[10]
0x3ae5edbdd1342ce6acaa48342792315d52e7b067,[11],[219],2,1,1,1,[11]
0x836aa4cea7e7ff99f4f45a8be38eabaff897176f,[12],,1,1,0,0,[]
0x003f462db7b98c41634db07edc60b2dc7f9acb67,[13],,1,1,0,0,[]
0xe475b4ae7f4c549817768537c0f8ae8bd4def540,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[2066, 2067, 2068, 2069, 2070, 2071, 1624, 1173]",18,10,8,8,"[14, 15, 16, 17, 18, 19, 20, 21]"
0x823a4b282f6c8c78fbf2c63860e777c395e5f213,"[30, 31, 32, 33, 1629]","[1174, 1622, 1623, 2064, 2063]",10,5,5,5,"[30, 31, 32, 33, 1629]"
0x7d3259654436ad5c70881fdb3bf53853b50cb51f,[34],[28],2,1,1,1,[34]
0x90598faecb13b32b33e0d2ad07e74eace9afd64f,"[35, 36, 37, 38]",,4,4,0,0,[]
0x6416ad25d5679f61395585bd68551624bef9a755,[39],,1,1,0,0,[]
0x69e8e7228dc1205fa424999aa4ff2389c088adff,"[40, 41]",,2,2,0,0,[]
0xcb8044289f0af12d84f994cf5dda018368fcd098,[42],[1006],2,1,1,1,[42]
0xf7bbbd48a1bc26c613ad3fba0ea39e748fe0592b,"[45, 46]","[201, 1242, 1243, 1244]",6,2,4,2,"[45, 46]"
0xca64f8bffb5351a22b0e171d99eadc6612ba0ec9,"[54, 897, 301, 619, 200, 448, 123, 55, 1823, 609, 29, 1816, 984, 564]","[2160, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 1785, 2964, 904, 118, 119, 135, 134, 493, 1544, 2151, 2152, 2153]",41,14,27,14,"[54, 897, 301, 619, 200, 448, 123, 55, 1823, 609, 29, 1816, 984, 564]"
0x2fce053e055c432107a2fd98a355c75b406b5bba,[57],,1,1,0,0,[]
0x2c6602c1200f08eb57cc06eada1c215cfd7d0b7c,[58],"[648, 647, 646]",4,1,3,1,[58]
0x61ee78d46064dd175220c54281cea53fa6c13492,[59],,1,1,0,0,[]
0xdd071d33bfcf21286ac874c9617a9b350b3072c1,"[74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 116, 117, 118, 119, 120, 121, 109, 108, 113, 112, 111, 110, 107, 100, 105, 104, 103, 102, 101]",,45,45,0,0,[]
0x2cf5029623ea5f00403591f4b513c3cd8ce33cab,"[132, 131, 130]","[1458, 1459, 1460, 1461, 1462, 1463, 1466, 1467]",11,3,8,3,"[132, 131, 130]"
0xf47e3493991b05be2ed554cce0442fd1fb2a6436,"[137, 138, 139, 140, 141]","[1743, 1744, 1745, 1746, 1747]",10,5,5,5,"[137, 138, 139, 140, 141]"
0xf87f1d62c82776ff01ba359422804309e95fbf5b,[143],,1,1,0,0,[]
0x8922aa8921de71e66824b0665e7fbe0488a0fcca,"[144, 145, 146]","[136, 916, 917]",6,3,3,3,"[144, 145, 146]"
0xaf2cc2741afa212be9fe80a3b853e3fe48cb4ea2,"[147, 148]","[1258, 1259]",4,2,2,2,"[147, 148]"
0xb7767355aa657b3ed66f0de24da5018a5e2862bd,[151],"[1425, 2707, 2708, 2709, 2710]",6,1,5,1,[151]
0x80b9a849a18aa403bfa8d2b28d016c02aea65090,"[154, 155, 156, 157, 158, 159]",,6,6,0,0,[]
0xde9a65d3f549edd70163795479a7c88d13dbb15c,"[162, 163, 164, 165, 166]","[1426, 1427]",7,5,2,2,"[162, 163]"
0xf2151bf89ed2d385568559983ece5fd7770f7427,"[150, 149]","[1847, 1848, 1849, 1850, 1851]",7,2,5,2,"[150, 149]"
0x02a22fc3f3403e80067c1ac07561b10c56e6e171,[168],,1,1,0,0,[]
0xbcb13e595cfe2c06024d4157e9d290bcbb6cf739,"[170, 169]","[1604, 1605, 1606, 2497, 2498, 2499, 2500, 2501]",10,2,8,2,"[170, 169]"
0xa645a9402a25d330beb716cc50bc71e91a47f73a,[172],[3183],2,1,1,1,[172]
0xae77f2a6d9e52db6a9761f13200093868ae06255,"[173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197]","[2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2099, 2100, 2101, 2102, 2103, 2104, 2105, 2106]",51,25,26,25,"[173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197]"
0x863a8faa3ed7df945ddcc03b5b6074f8e56c3fbb,[201],"[831, 832, 833, 834, 835]",6,1,5,1,[201]
0x7237b3abbbc636510adcd24747d090fc6db407d4,"[202, 203, 204]",,3,3,0,0,[]
0x04c934a77aacc7789d2caa8001ed15d2ab66ea97,[205],,1,1,0,0,[]
0x5795f232dcb4f633de047965add229c732794aeb,"[206, 1420, 1471, 340, 1422, 295, 278]","[2759, 2760, 2761, 2762, 1418, 632, 1670]",14,7,7,7,"[206, 1420, 1471, 340, 1422, 295, 278]"
0x6916c90a62611524f893726e7f70417b08dd2c31,[214],,1,1,0,0,[]
0x404f21bf70b3f9181c559365902a2d1cf26f8b94,"[222, 223, 224, 225]","[229, 230, 231, 232, 233, 234, 235, 236, 244, 238, 239, 1049, 1050]",17,4,13,4,"[222, 223, 224, 225]"
0x81dc6f15ee72f6e6d49cb6ca44c0bf8e63770027,"[226, 227, 228, 229, 230, 231, 232, 233, 234, 235]","[1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220]",30,10,20,10,"[226, 227, 228, 229, 230, 231, 232, 233, 234, 235]"
0x13c5f79fe6fa9c4923ff4a81fce4e8cc8bb22314,[236],"[547, 548]",3,1,2,1,[236]
0x096e49f877394fe0191ceccda7ecb6f3fc92cf98,[237],,1,1,0,0,[]
0x2364797fda4928016e631adf65e532a941c86afd,[238],,1,1,0,0,[]
0x0968000a069972d61504aacb06c59ff54e977979,[240],,1,1,0,0,[]
0x24c6bbb049784095b398f54b963cc5c9189436e3,[242],,1,1,0,0,[]
0xe9e903f1ca716fb5e315b1729c0d06c0ce5f357a,"[243, 244]",,2,2,0,0,[]
0x9b94703b2a838400e77767ded579f365fe439c5c,[246],"[1438, 1439]",3,1,2,1,[246]
0xb48332105aa1eff2e2b6b11639ac441c4b903295,"[247, 248]",,2,2,0,0,[]
0xe570f9bf7ece5a8b86289588c077dc69cac7111a,[249],[1494],2,1,1,1,[249]
0x470f0ee2449484f55b1eb3a7b736cb0d4e377202,[250],,1,1,0,0,[]
0x86b337be60c942e80f31e7be097de1ca821c5f7f,"[251, 252, 253, 254, 255, 256, 257, 258, 259, 260]",,10,10,0,0,[]
0xb347a88e0eb141b0f144e19cc3c2f14e31972dec,"[264, 265, 266, 267, 268]",,5,5,0,0,[]
0x3f87529a9b4e2ac329bad6fbe4e3dba2289ce18e,"[269, 270, 1332, 26]",,4,4,0,0,[]
0xc6d8997be1aa277bdfd2c24c669aa4497f837a08,"[271, 272]",[3086],3,2,1,1,[271]
0x6013782ea371e1fde1624347a8b845c7fa07a9c7,"[283, 284]",[1281],3,2,1,1,[283]
