Address,Gen1Unstaked,Gen1Staked,Gen2Unstaked,Gen2Staked,GenLegacy,Gen1Total,Gen2Total,Gen1CountUnstaked,Gen1CountStaked,Gen1CountTotal,Gen2CountUnstaked,Gen2CountStaked,Gen2CountTotal,Gen1StakedRatio,Gen2StakedRatio,GenTotalStakedRatio,totalBalance,legacySeries1Balance,series1Balance,series2Balance,totalStaked,series1Staked,%Staked,Bonus,BonusNFTs,series2Staked,Series2 Rewards,Series1 Rewards,Total Rewards
0xb104c36540604bc406a4d8510b1b82d30b5cdb78,[],"[0, 1]",[],"[44, 47, 48, 45, 46, 1090, 1091, 1092, 1093, 1094, 1734]",0,"[0, 1]","[44, 47, 48, 45, 46, 1090, 1091, 1092, 1093, 1094, 1734]",0,2,2,0,11,11,100,100,100,13,0,2,11,13,2,100,2,"[0, 1]",11,18980,19494,38474
0x1cd15c832da85eada588e9914f5b65e5054845b3,[],[2],,,0,[2],,0,1,1,,,,100,0,0,1,0,1,0,1,1,100,0,[],0,0,9666,9666
0xef7d145e7921013997a7718f7c5b047a6f5c3612,[],[3],[],[1324],0,[3],[1324],0,1,1,0,1,1,100,100,100,2,0,1,1,2,1,100,1,[3],1,1740,9747,11487
0x1eb39d46c9814c8f16ea657d9dc1029575f4d651,[],"[7, 8, 9, 5, 6]",,,0,"[7, 8, 9, 5, 6]",,0,5,5,,,,100,0,0,5,0,5,0,5,5,100,0,[],0,0,48681,48681
0x6fbca530761e132b11b0e3a9e4fc744d2a371c8e,[],[10],[],"[18, 943, 944, 945, 946]",0,[10],"[18, 943, 944, 945, 946]",0,1,1,0,5,5,100,100,100,6,0,1,5,6,1,100,1,[10],5,8230,9477,17707
0x3ae5edbdd1342ce6acaa48342792315d52e7b067,[],[11],[],[219],0,[11],[219],0,1,1,0,1,1,100,100,100,2,0,1,1,2,1,100,1,[11],1,1600,9747,11347
0x836aa4cea7e7ff99f4f45a8be38eabaff897176f,[],[12],,,0,[12],,0,1,1,,,,100,0,0,1,0,1,0,1,1,100,0,[],0,0,9747,9747
0x003f462db7b98c41634db07edc60b2dc7f9acb67,[],[13],,,0,[13],,0,1,1,,,,100,0,0,1,0,1,0,1,1,100,0,[],0,0,9747,9747
0xe475b4ae7f4c549817768537c0f8ae8bd4def540,[],"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[],"[2066, 2067, 2068, 2069, 2070, 2071, 1624, 1173]",0,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[2066, 2067, 2068, 2069, 2070, 2071, 1624, 1173]",0,10,10,0,8,8,100,100,100,18,0,10,8,18,10,100,8,"[14, 15, 16, 17, 18, 19, 20, 21]",8,12775,97470,110245
0x823a4b282f6c8c78fbf2c63860e777c395e5f213,[],"[30, 31, 32, 33, 1629]",[],"[1174, 1622, 1623, 2064, 2063]",0,"[30, 31, 32, 33, 1629]","[1174, 1622, 1623, 2064, 2063]",0,5,5,0,5,5,100,100,100,10,0,5,5,10,5,100,5,"[30, 31, 32, 33, 1629]",5,8045,43767,51812
0x7d3259654436ad5c70881fdb3bf53853b50cb51f,[],[34],[],[28],0,[34],[28],0,1,1,0,1,1,100,100,100,2,0,1,1,2,1,100,1,[34],1,305,9747,10052
0x90598faecb13b32b33e0d2ad07e74eace9afd64f,[],"[35, 36, 37, 38]",,,0,"[35, 36, 37, 38]",,0,4,4,,,,100,0,0,4,0,4,0,4,4,100,0,[],0,0,38772,38772
0x6416ad25d5679f61395585bd68551624bef9a755,[],[39],,,0,[39],,0,1,1,,,,100,0,0,1,0,1,0,1,1,100,0,[],0,0,9342,9342
0x69e8e7228dc1205fa424999aa4ff2389c088adff,[],"[40, 41]",,,0,"[40, 41]",,0,2,2,,,,100,0,0,2,0,2,0,2,2,100,0,[],0,0,19494,19494
0xcb8044289f0af12d84f994cf5dda018368fcd098,[],[42],[],[1006],0,[42],[1006],0,1,1,0,1,1,100,100,100,2,0,1,1,2,1,100,1,[42],1,1750,9747,11497
0xf7bbbd48a1bc26c613ad3fba0ea39e748fe0592b,[],"[45, 46]",[],"[201, 1242, 1243, 1244]",0,"[45, 46]","[201, 1242, 1243, 1244]",0,2,2,0,4,4,100,100,100,6,0,2,4,6,2,100,2,"[45, 46]",4,6980,19494,26474
0xca64f8bffb5351a22b0e171d99eadc6612ba0ec9,[54],"[897, 301, 619, 200, 448, 123, 55, 1823, 609, 29, 1816, 984, 564]",[],"[2160, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 1785, 2964, 904, 118, 119, 135, 134, 493, 1544, 2151, 2152, 2153]",0,"[54, 897, 301, 619, 200, 448, 123, 55, 1823, 609, 29, 1816, 984, 564]","[2160, 2161, 2162, 2163, 2164, 2165, 2166, 2167, 3014, 3015, 3016, 3017, 3018, 3019, 3020, 1785, 2964, 904, 118, 119, 135, 134, 493, 1544, 2151, 2152, 2153]",1,13,14,0,27,27,92,100,97,41,0,14,27,40,13,97.56097561,14,"[54, 897, 301, 619, 200, 448, 123, 55, 1823, 609, 29, 1816, 984, 564]",27,83535,81999,165534
